Date,Open,High,Low,Close
04/14/2021,"63,196","64,788","61,368","62,357"
04/13/2021,"60,000","63,621","59,783","63,196"
04/12/2021,"59,607","61,224","59,429","60,011"
04/11/2021,"58,606","60,649","58,599","59,607"
04/10/2021,"58,354","61,197","57,876","58,621"
04/09/2021,"57,677","58,879","57,473","58,354"
04/08/2021,"56,221","58,134","55,752","57,681"
04/07/2021,"58,244","58,624","55,494","56,157"
04/06/2021,"58,800","59,469","57,391","58,244"
04/05/2021,"58,030","59,231","56,886","58,810"
04/04/2021,"58,038","58,463","56,504","58,030"
04/03/2021,"58,655","59,797","57,848","58,063"
04/02/2021,"58,862","60,118","58,526","58,655"
04/01/2021,"58,932","59,441","58,021","58,855"
03/31/2021,"58,671","59,831","57,054","58,932"
03/30/2021,"57,250","59,408","57,078","58,671"
03/29/2021,"54,863","58,335","54,830","57,176"
03/28/2021,"55,909","56,616","54,740","54,863"
03/27/2021,"54,014","56,254","53,986","55,916"
03/26/2021,"51,989","54,262","51,309","54,014"
03/25/2021,"54,175","54,175","50,485","51,989"
03/24/2021,"54,445","57,159","53,294","54,175"
03/23/2021,"54,610","55,816","53,100","54,346"
03/22/2021,"57,788","58,373","54,316","54,610"
03/21/2021,"58,466","58,792","55,578","57,792"
03/20/2021,"58,404","59,909","57,890","58,466"
03/19/2021,"57,533","59,436","56,303","58,426"
03/18/2021,"57,706","60,040","57,145","57,533"
03/17/2021,"56,392","58,197","54,298","57,834"
03/16/2021,"56,398","56,952","53,311","56,379"
03/15/2021,"60,259","60,738","55,030","56,398"
03/14/2021,"61,002","61,674","59,348","60,173"
03/13/2021,"56,990","61,732","56,144","61,002"
03/12/2021,"57,721","58,118","55,160","56,981"
03/11/2021,"56,954","57,918","54,416","57,721"
03/10/2021,"54,313","57,357","53,235","56,932"
03/09/2021,"51,883","54,818","51,448","54,313"
03/08/2021,"50,104","51,949","49,368","51,896"
03/07/2021,"48,592","51,343","48,552","50,104"
03/06/2021,"49,138","49,391","47,147","48,583"
03/05/2021,"47,917","49,442","46,472","49,138"
03/04/2021,"50,952","51,777","47,555","47,924"
03/03/2021,"47,466","52,564","47,422","50,952"
03/02/2021,"48,844","50,200","47,144","47,477"
03/01/2021,"45,254","49,412","44,970","48,844"
02/28/2021,"46,844","46,859","43,197","45,255"
02/27/2021,"45,680","48,321","45,118","46,844"
02/26/2021,"48,199","48,821","44,246","45,621"
02/25/2021,"48,720","52,054","48,119","48,199"
02/24/2021,"48,084","51,337","47,039","48,720"
02/23/2021,"54,919","55,032","45,212","48,016"
02/22/2021,"57,332","57,616","48,034","54,919"
02/21/2021,"56,523","58,315","54,040","57,332"
02/20/2021,"55,493","57,485","55,101","56,501"
02/19/2021,"52,051","56,211","50,880","55,493"
02/18/2021,"52,333","52,524","51,023","52,059"
02/17/2021,"48,607","52,619","48,590","52,333"
02/16/2021,"48,183","50,513","47,186","48,642"
02/15/2021,"48,840","49,277","45,944","48,183"
02/14/2021,"47,210","49,698","46,954","48,921"
02/13/2021,"47,962","48,143","46,342","47,210"
02/12/2021,"46,943","48,842","46,438","47,853"
02/11/2021,"45,050","48,593","44,090","46,943"
02/10/2021,"47,357","47,357","43,783","45,039"
02/09/2021,"44,692","48,219","44,356","47,357"
02/08/2021,"38,610","44,797","38,085","44,797"
02/07/2021,"40,085","40,481","37,422","38,610"
02/06/2021,"37,853","40,972","37,714","40,103"
02/05/2021,"37,687","38,325","36,642","37,853"
02/04/2021,"37,284","38,725","36,281","37,712"
02/03/2021,"35,710","37,450","35,473","37,284"
02/02/2021,"33,667","35,982","33,470","35,686"
02/01/2021,"32,608","34,698","32,397","33,667"
01/31/2021,"34,649","34,789","32,237","32,626"
01/30/2021,"34,642","35,344","32,880","34,649"
01/29/2021,"33,274","38,641","32,002","34,715"
01/28/2021,"30,941","33,286","29,970","33,274"
