Date,Open,High,Low,Close
04/15/2022,"0.7166","0.7964","0.7166","0.7821"
04/14/2022,"0.7235","0.7406","0.7085","0.7166"
04/13/2022,"0.6974","0.7259","0.6974","0.7235"
04/12/2022,"0.7006","0.7203","0.6834","0.6974"
04/11/2022,"0.7695","0.7702","0.6982","0.7005"
04/10/2022,"0.7600","0.7728","0.7560","0.7695"
04/09/2022,"0.7623","0.7666","0.7480","0.7600"
04/08/2022,"0.7830","0.7934","0.7537","0.7623"
04/07/2022,"0.7783","0.7899","0.7537","0.7830"
04/06/2022,"0.8183","0.8239","0.7587","0.7783"
04/05/2022,"0.8244","0.8357","0.8161","0.8183"
04/04/2022,"0.8408","0.8515","0.8072","0.8244"
04/03/2022,"0.8283","0.8470","0.8157","0.8408"
04/02/2022,"0.8307","0.8497","0.8206","0.8283"
04/01/2022,"0.8169","0.8330","0.8046","0.8307"
03/31/2022,"0.8607","0.8730","0.7942","0.8169"
03/30/2022,"0.8613","0.8720","0.8469","0.8607"
03/29/2022,"0.8987","0.9017","0.8477","0.8611"
03/28/2022,"0.8463","0.9119","0.8452","0.8987"
03/27/2022,"0.8317","0.8486","0.8288","0.8465"
03/26/2022,"0.8282","0.8350","0.8213","0.8317"
03/25/2022,"0.8465","0.8495","0.8209","0.8282"
03/24/2022,"0.8298","0.8501","0.8281","0.8465"
03/23/2022,"0.8353","0.8457","0.8187","0.8298"
03/22/2022,"0.8389","0.8648","0.8291","0.8346"
03/21/2022,"0.8022","0.8541","0.7892","0.8389"
03/20/2022,"0.8230","0.8232","0.7972","0.8024"
03/19/2022,"0.7947","0.8266","0.7929","0.8230"
03/18/2022,"0.7930","0.8015","0.7773","0.7947"
03/17/2022,"0.7887","0.7990","0.7815","0.7930"
03/16/2022,"0.7655","0.7941","0.7570","0.7880"
03/15/2022,"0.7602","0.7773","0.7420","0.7655"
03/14/2022,"0.7863","0.7889","0.7448","0.7602"
03/13/2022,"0.7865","0.8040","0.7792","0.7863"
03/12/2022,"0.8114","0.8478","0.7790","0.7865"
03/11/2022,"0.7389","0.8148","0.7257","0.8084"
03/10/2022,"0.7625","0.7781","0.7244","0.7389"
03/09/2022,"0.7188","0.7715","0.7180","0.7628"
03/08/2022,"0.7199","0.7305","0.7146","0.7186"
03/07/2022,"0.7423","0.7530","0.7028","0.7199"
03/06/2022,"0.7447","0.7587","0.7280","0.7423"
03/05/2022,"0.7181","0.7682","0.6991","0.7453"
03/04/2022,"0.7477","0.7595","0.7098","0.7181"
03/03/2022,"0.7746","0.7881","0.7341","0.7473"
03/02/2022,"0.7829","0.7884","0.7571","0.7724"
03/01/2022,"0.7669","0.8035","0.7588","0.7833"
02/28/2022,"0.7199","0.7770","0.7100","0.7669"
02/27/2022,"0.7594","0.7619","0.7043","0.7199"
02/26/2022,"0.7342","0.7886","0.7303","0.7594"
02/25/2022,"0.7014","0.7399","0.6758","0.7352"
02/24/2022,"0.7016","0.7158","0.6229","0.7014"
02/23/2022,"0.7098","0.7441","0.6990","0.7016"
02/22/2022,"0.7146","0.7343","0.6716","0.7095"
02/21/2022,"0.7741","0.8009","0.7176","0.7187"
02/20/2022,"0.8102","0.8250","0.7677","0.7738"
02/19/2022,"0.7737","0.8531","0.7711","0.8118"
02/18/2022,"0.7729","0.8053","0.7580","0.7742"
02/17/2022,"0.8424","0.8466","0.7551","0.7727"
02/16/2022,"0.8285","0.8590","0.8090","0.8411"
02/15/2022,"0.7987","0.8379","0.7971","0.8285"
02/14/2022,"0.8082","0.8167","0.7806","0.7987"
02/13/2022,"0.8124","0.8481","0.7935","0.8082"
02/12/2022,"0.7741","0.8509","0.7478","0.8124"
02/11/2022,"0.8397","0.8478","0.7695","0.7747"
02/10/2022,"0.8925","0.9002","0.8389","0.8397"
02/09/2022,"0.8449","0.9159","0.8268","0.8939"
02/08/2022,"0.8010","0.9139","0.8010","0.8457"
02/07/2022,"0.6747","0.8038","0.6704","0.8003"
02/06/2022,"0.6687","0.6796","0.6599","0.6747"
02/05/2022,"0.6392","0.6864","0.6371","0.6687"
02/04/2022,"0.6056","0.6420","0.6035","0.6392"
02/03/2022,"0.6013","0.6072","0.5905","0.6056"
02/02/2022,"0.6260","0.6314","0.5959","0.6007"
02/01/2022,"0.6091","0.6291","0.6085","0.6260"
01/31/2022,"0.6024","0.6109","0.5812","0.6091"
01/30/2022,"0.6203","0.6229","0.5984","0.6024"
01/29/2022,"0.6091","0.6251","0.6071","0.6203"
01/28/2022,"0.5962","0.6132","0.5926","0.6091"
01/27/2022,"0.6080","0.6242","0.5899","0.5962"
01/26/2022,"0.6069","0.6590","0.6064","0.6076"
01/25/2022,"0.6121","0.6181","0.5876","0.6069"
01/24/2022,"0.6053","0.6349","0.5545","0.6121"
01/23/2022,"0.6016","0.6276","0.5853","0.6053"
01/22/2022,"0.6343","0.6530","0.5536","0.6016"
01/21/2022,"0.7334","0.7368","0.6135","0.6340"
01/20/2022,"0.7405","0.7621","0.7334","0.7334"
01/19/2022,"0.7560","0.7598","0.7240","0.7405"
01/18/2022,"0.7533","0.7686","0.7361","0.7560"
01/17/2022,"0.7772","0.7812","0.7507","0.7535"
01/16/2022,"0.7835","0.7848","0.7693","0.7768"
01/15/2022,"0.7787","0.7900","0.7688","0.7835"
01/14/2022,"0.7715","0.7902","0.7529","0.7787"
01/13/2022,"0.7967","0.8020","0.7613","0.7715"
01/12/2022,"0.7655","0.8072","0.7579","0.7970"
01/11/2022,"0.7351","0.7717","0.7312","0.7658"
01/10/2022,"0.7626","0.7628","0.7002","0.7351"
01/09/2022,"0.7522","0.7664","0.7388","0.7626"
01/08/2022,"0.7691","0.7764","0.7242","0.7522"
01/07/2022,"0.7829","0.7850","0.7308","0.7691"
01/06/2022,"0.7912","0.7946","0.7166","0.7827"
01/05/2022,"0.8292","0.8364","0.7836","0.7913"
01/04/2022,"0.8295","0.8450","0.8175","0.8292"
01/03/2022,"0.8535","0.8608","0.8220","0.8295"
01/02/2022,"0.8461","0.8641","0.8378","0.8535"
01/01/2022,"0.8286","0.8547","0.8254","0.8461"
12/31/2021,"0.8403","0.8534","0.8032","0.8284"
12/30/2021,"0.8289","0.8586","0.8041","0.8403"
12/29/2021,"0.8559","0.8637","0.8125","0.8289"
12/28/2021,"0.9370","0.9409","0.8465","0.8561"
12/27/2021,"0.9218","0.9554","0.9156","0.9382"
12/26/2021,"0.9294","0.9327","0.9062","0.9200"
12/25/2021,"0.9148","0.9343","0.8984","0.9301"
12/24/2021,"1.0073","1.0073","0.9096","0.9140"
12/23/2021,"0.9644","1.0164","0.9380","1.0074"
12/22/2021,"0.9420","0.9727","0.9265","0.9644"
12/21/2021,"0.8664","0.9430","0.8536","0.9404"
12/20/2021,"0.8341","0.9159","0.8260","0.8659"
12/19/2021,"0.8300","0.8439","0.8205","0.8341"
12/18/2021,"0.8030","0.8338","0.7884","0.8292"
12/17/2021,"0.8145","0.8307","0.7779","0.8030"
12/16/2021,"0.8352","0.8363","0.8082","0.8145"
12/15/2021,"0.8166","0.8396","0.7786","0.8352"
12/14/2021,"0.7770","0.8207","0.7737","0.8163"
12/13/2021,"0.8480","0.8483","0.7629","0.7783"
