Date,Open,High,Low,Close
04/14/2020,"157.70","162.06","155.69","159.28"
04/13/2020,"164.06","164.57","150.20","156.73"
04/12/2020,"154.79","165.40","154.50","163.91"
04/11/2020,"159.40","161.53","154.22","154.72"
04/10/2020,"170.29","171.14","152.85","159.09"
04/09/2020,"172.18","173.86","165.77","170.73"
04/08/2020,"163.00","174.50","162.71","172.12"
04/07/2020,"164.00","176.29","162.81","163.62"
04/06/2020,"142.38","167.36","142.02","164.09"
04/05/2020,"144.06","145.96","141.17","142.49"
04/04/2020,"140.75","146.56","139.17","143.70"
04/03/2020,"140.59","146.83","137.97","140.69"
04/02/2020,"132.33","150.00","131.92","140.95"
04/01/2020,"134.68","135.19","129.08","132.33"
03/31/2020,"134.04","135.35","130.35","134.68"
03/30/2020,"125.65","134.93","124.02","134.04"
03/29/2020,"131.02","132.64","124.01","125.59"
03/28/2020,"137.65","137.76","125.13","131.17"
03/27/2020,"136.78","141.82","134.75","137.43"
03/26/2020,"135.38","138.85","133.72","136.79"
03/25/2020,"139.89","142.76","133.48","135.45"
03/24/2020,"132.30","144.07","131.30","139.86"
03/23/2020,"124.27","137.66","120.65","132.20"
03/22/2020,"135.34","137.67","121.87","124.20"
03/21/2020,"125.36","137.99","124.77","135.46"
03/20/2020,"137.25","152.54","116.30","125.21"
03/19/2020,"116.47","140.51","115.35","137.25"
03/18/2020,"119.53","120.22","110.39","116.41"
03/17/2020,"109.35","121.09","107.38","119.22"
03/16/2020,"120.06","132.85","101.11","109.21"
03/15/2020,"127.32","129.20","120.10","120.10"
03/14/2020,"128.72","138.34","125.62","127.62"
03/13/2020,"127.78","142.63","89.98","128.62"
03/12/2020,"193.15","195.78","125.27","128.64"
03/11/2020,"202.94","203.50","182.02","192.70"
03/10/2020,"198.32","206.42","195.12","202.76"
03/09/2020,"209.60","212.06","190.57","198.36"
03/08/2020,"238.70","240.87","204.01","209.61"
03/07/2020,"240.83","252.00","236.76","238.78"
03/06/2020,"231.10","241.49","226.81","240.83"
03/05/2020,"222.80","234.60","222.80","231.10"
03/04/2020,"223.91","228.83","220.77","222.80"
03/03/2020,"232.48","233.16","220.31","223.91"
03/02/2020,"215.02","235.52","214.68","232.68"
03/01/2020,"223.51","227.60","212.40","214.38"
02/29/2020,"226.11","233.31","221.50","223.51"
02/28/2020,"226.55","234.37","214.33","226.49"
02/27/2020,"223.68","238.00","210.14","226.19"
02/26/2020,"249.90","252.88","216.31","223.79"
02/25/2020,"261.86","266.20","245.70","249.90"
02/24/2020,"271.69","278.01","257.00","261.86"
02/23/2020,"262.88","275.45","261.13","271.70"
02/22/2020,"263.21","266.97","257.18","262.88"
02/21/2020,"259.38","268.48","254.75","263.06"
02/20/2020,"261.72","266.57","247.34","259.63"
02/19/2020,"281.16","287.00","252.10","262.99"
02/18/2020,"260.40","286.25","259.08","280.87"
02/17/2020,"252.00","263.24","243.05","260.41"
02/16/2020,"268.28","273.82","238.00","251.90"
