Date,Open,High,Low,Close
4/14/2023,"30,311","30,976","30,052","30,442"
4/13/2023,"29,963","30,557","29,818","30,311"
4/12/2023,"30,173","30,410","29,739","29,963"
4/11/2023,"29,111","30,488","29,089","30,173"
4/10/2023,"28,108","29,258","28,108","29,111"
4/9/2023,"27,961","28,298","27,899","28,108"
4/8/2023,"27,855","28,188","27,847","27,961"
4/7/2023,"27,982","28,103","27,801","27,855"
4/6/2023,"28,185","28,230","27,778","27,982"
4/5/2023,"28,266","28,722","27,826","28,185"
4/4/2023,"27,577","28,427","27,337","28,266"
4/3/2023,"28,089","28,463","27,573","27,573"
4/2/2023,"28,467","28,570","27,953","28,089"
4/1/2023,"28,392","28,815","28,316","28,467"
3/31/2023,"28,164","28,654","27,554","28,392"
3/30/2023,"28,385","29,140","27,770","28,154"
3/29/2023,"27,323","28,612","27,129","28,385"
3/28/2023,"27,041","27,492","26,674","27,329"
3/27/2023,"27,812","28,133","26,576","27,041"
3/26/2023,"27,387","28,186","27,384","27,811"
3/25/2023,"27,617","27,806","27,067","27,387"
3/24/2023,"28,312","28,447","27,548","27,632"
3/23/2023,"27,381","28,732","27,041","28,312"
3/22/2023,"28,117","28,796","26,700","27,360"
3/21/2023,"28,047","28,462","27,421","28,117"
3/20/2023,"27,963","28,502","27,201","28,047"
3/19/2023,"27,413","28,432","26,912","27,963"
3/18/2023,"26,791","27,788","26,791","27,413"
3/17/2023,"24,701","26,991","24,701","26,791"
3/16/2023,"24,369","25,187","24,215","24,701"
3/15/2023,"24,674","25,260","23,989","24,371"
3/14/2023,"24,126","26,425","23,951","24,674"
3/13/2023,"21,403","24,538","21,255","24,126"
3/12/2023,"20,453","21,432","20,392","21,397"
3/11/2023,"20,096","20,784","19,889","20,453"
3/10/2023,"20,244","20,475","19,594","20,091"
3/9/2023,"22,005","22,005","20,125","20,244"
3/8/2023,"22,050","22,267","21,883","22,006"
3/7/2023,"22,404","22,529","21,971","22,050"
3/6/2023,"22,482","22,571","22,313","22,401"
3/5/2023,"22,226","22,633","22,215","22,482"
3/4/2023,"22,246","22,411","22,170","22,224"
3/3/2023,"23,417","23,549","22,111","22,246"
3/2/2023,"23,542","23,783","23,219","23,427"
3/1/2023,"23,142","23,942","23,046","23,542"
2/28/2023,"23,386","23,613","23,056","23,159"
2/27/2023,"23,564","23,869","23,172","23,386"
2/26/2023,"22,951","23,677","22,931","23,565"
2/25/2023,"23,131","23,241","22,802","22,951"
2/24/2023,"23,897","24,118","22,934","23,131"
2/23/2023,"23,804","24,592","23,623","23,897"
2/22/2023,"24,183","24,468","23,604","23,804"
2/21/2023,"24,762","25,147","24,183","24,183"
2/20/2023,"24,544","25,098","23,896","24,762"
2/19/2023,"24,624","25,175","24,308","24,544"
2/18/2023,"24,593","24,839","24,116","24,624"
2/17/2023,"24,520","24,987","23,382","24,593"
2/16/2023,"24,173","25,193","24,145","24,520"
